# contains at first column the different Watts, then vertical, horizontal, diagonal mean values of the edge measurement
   5.00000,  29.45585,  42.58944,  27.79702
  10.00000,  34.47396,  48.79789,  30.35466
  15.00000,  37.60811,  53.60303,  34.17707
  20.00000,  40.08753,  56.64659,  36.07029
  25.00000,  41.51976,  58.57718,  36.65485
  30.00000,  33.67916,  47.18055,  31.24752
  35.00000,  33.32619,  54.16041,  33.46183
  40.00000,  38.90323,  70.94180,  41.77639
  45.00000,  54.30887, 106.64171,  60.41476
  50.00000,  57.62824, 112.26606,  63.80037
  55.00000,  60.73362, 117.89512,  66.58067
  60.00000,  63.66011, 124.96464,  69.07559
  65.00000,  62.57625, 123.37464,  69.14921
