# contains at first column the different Watts, then vertical, horizontal, diagonal mean values of the edge measurement
   5.00000,  21.09721,  18.95000,  12.88964
  10.00000,  24.31191,  20.42951,  16.33843
  15.00000,  31.74892,  23.70144,  25.27917
  20.00000,  34.99910,  33.58390,  28.62584
  25.00000,  37.34784,  38.76224,  30.63933
  30.00000,  30.04533,  31.89276,  27.52532
  35.00000,  36.14280,  60.50841,  40.06035
  40.00000,  56.69328, 119.00633,  72.74032
  45.00000,  68.63320, 159.08282,  95.43429
  50.00000,  73.63595, 169.16444,  98.87226
  55.00000,  76.73138, 178.34047, 105.97803
  60.00000,  80.85267, 188.76653, 108.98640
  65.00000,  84.24242, 197.01860, 113.72304
  70.00000,  85.95988, 203.24740, 113.36687
  75.00000,  89.01594, 210.84627, 117.98612
  80.00000,  92.31141, 218.16812, 121.63068
  85.00000,  95.63872, 226.02315, 124.60064
  90.00000,  97.02188, 228.53273, 124.76302
  95.00000,  99.95617, 232.85816, 128.92491
 100.00000, 103.67381, 240.08632, 132.75301
 105.00000, 106.06532, 231.60726, 129.62232
 110.00000,  99.45990, 229.29807, 124.49195
 115.00000, 101.14546, 233.06406, 125.08038
 120.00000, 103.07526, 236.52168, 124.24365
 125.00000, 110.91830, 248.04733, 132.40504
 130.00000, 110.88690, 248.55778, 130.61860
 135.00000, 109.11412, 246.56422, 127.68329
 140.00000, 106.29845, 239.33987, 122.51970
 145.00000, 104.17653, 230.61129, 117.93790
 150.00000, 102.63853, 222.50275, 113.50364
