X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
2986.85,3593.46,3563.14
3000.16,3553.79,3523.49
3013.46,3513.17,3483.84
3026.76,3475.69,3446.12
3040.06,3438.21,3408.41
3053.37,3400.74,3370.7
3066.67,3363.26,3332.99
3079.97,3327.64,3297.51
3093.28,3292.41,3262.51
3106.58,3257.18,3227.52
3119.88,3221.95,3192.52
3133.18,3187.4,3158.2
3146.49,3154.34,3125.37
3159.79,3121.29,3092.55
3173.09,3088.23,3059.72
3186.4,3055.18,3026.89
3199.7,3023.85,2995.62
3213,2993.17,2964.94
3226.3,2962.48,2934.26
3239.61,2931.8,2903.58
3252.91,2901.12,2872.89
3266.21,2872.41,2844.19
3279.52,2843.71,2815.49
3292.82,2815.02,2786.79
3306.12,2786.32,2758.1
3319.43,2758.07,2729.85
3332.73,2731.12,2702.89
3346.03,2704.16,2675.93
3359.33,2677.2,2648.98
3372.64,2650.24,2622.02
3385.94,2623.99,2595.76
3399.24,2598.91,2570.69
3412.55,2573.84,2545.61
3425.85,2548.76,2520.54
3439.15,2523.69,2495.47
3452.45,2499.42,2471.2
3465.76,2476.31,2448.09
3479.06,2453.2,2424.98
3492.36,2430.09,2401.87
3505.67,2406.99,2378.76
3518.97,2384.12,2355.99
3532.27,2361.83,2334.03
3545.57,2339.54,2312.06
3558.88,2317.25,2290.1
3572.18,2294.95,2268.14
3585.48,2273.03,2246.44
3598.79,2252.71,2225.92
3612.09,2232.38,2205.4
3625.39,2212.06,2184.87
3638.7,2191.74,2164.35
3652,2171.41,2143.83
3665.3,2152.36,2124.96
3678.6,2133.42,2106.23
3691.91,2114.47,2087.49
3705.21,2095.52,2068.76
3718.51,2076.57,2050.02
3731.82,2058.16,2031.72
3745.12,2040.25,2013.83
3758.42,2022.34,1995.94
3771.72,2004.44,1978.06
3785.03,1986.53,1960.17
3798.33,1968.65,1942.31
3811.63,1952.02,1925.72
3824.94,1935.39,1909.12
3838.24,1918.76,1892.53
3851.54,1902.13,1875.94
3864.84,1885.5,1859.34
3878.15,1869.39,1843.27
3891.45,1853.89,1827.81
3904.75,1838.39,1812.35
3918.06,1822.89,1796.89
3931.36,1807.4,1781.42
