X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,124932,124316
23.5589,123875,123266
36.1177,122817,122215
48.6766,121759,121165
61.2355,120702,120115
73.7943,119644,119064
86.3532,118587,118014
98.9121,117529,116964
111.471,116471,115914
124.03,115414,114863
136.589,114356,113813
149.148,113299,112763
161.706,112241,111712
174.265,111183,110662
186.824,110126,109612
199.383,109068,108561
211.942,108011,107511
224.501,106953,106461
237.06,105895,105411
249.619,104838,104360
262.177,103780,103310
274.736,102723,102260
287.295,101665,101209
299.854,100608,100159
312.413,99549.9,99108.8
324.972,98492.3,98058.5
337.531,97434.7,97008.2
350.089,96377.1,95957.9
362.648,95319.5,94907.6
375.207,94262,93857.3
387.766,93204.4,92807
400.325,92146.8,91756.7
412.884,91089.2,90706.4
425.443,90031.6,89656.1
438.002,88974,88605.8
450.56,87916.4,87555.5
463.119,86858.8,86505.2
475.678,85801.2,85454.9
488.237,84743.6,84404.6
500.796,83686,83354.3
513.355,82628.4,82304
525.914,81570.9,81253.7
538.473,80513.3,80203.4
551.031,79455.7,79153.1
563.59,78398.1,78102.8
576.149,77340.5,77052.5
588.708,76282.9,76002.2
601.267,75225.3,74951.9
613.826,74167.7,73901.6
626.385,73110.1,72851.3
638.943,72052.5,71801
651.502,70994.9,70750.7
664.061,69937.4,69700.4
676.62,68879.8,68650.1
689.179,67822.2,67599.8
701.738,66764.6,66549.5
714.297,65707,65499.2
726.856,64649.4,64448.9
739.414,63591.8,63398.7
751.973,62534.2,62348.4
764.532,61476.6,61298.1
777.091,60419,60247.8
789.65,59361.4,59197.5
802.209,58303.8,58147.2
814.768,57246.3,57096.9
827.327,56188.7,56046.6
839.885,55131.1,54996.3
852.444,54073.5,53946
865.003,53015.9,52895.7
877.562,51958.3,51845.4
890.121,50900.7,50795.1
902.68,49843.1,49744.8
915.239,48785.5,48694.5
927.798,47727.9,47644.2
940.356,46670.3,46593.9
952.915,45612.8,45543.6
965.474,44555.2,44493.3
978.033,43497.6,43443
990.592,42440,42392.7
1003.15,41382.4,41342.4
1015.71,40324.8,40292.1
1028.27,39321.5,39284.7
1040.83,38337.6,38295.8
1053.39,37379.2,37337.4
1065.95,37520.4,37478.6
1078.5,37391.1,37349.2
1091.06,36474.5,36438.7
1103.62,35576.2,35544.8
1116.18,34713.4,34682.1
1128.74,33893.2,33858.2
1141.3,33099.6,33058.5
1153.86,32360.4,32323.5
1166.42,31629.8,31598.5
1178.97,30901.8,30870.4
1191.53,30198.5,30165.6
1204.09,29558.5,29520.1
1216.65,28903.1,28861.2
1229.21,28941.5,28899.7
1241.77,28283.3,28241.5
1254.33,27654.2,27612.4
1266.89,27057.4,27018.9
1279.45,26479.7,26446.5
1292,25918.8,25884.1
1304.56,25367.4,25327.4
1317.12,24842.8,24804.2
1329.68,24332.8,24299.3
1342.24,23834.4,23800.1
1354.8,23344.6,23305.3
1367.36,22866.1,22827.6
1379.92,22398.5,22366.5
1392.48,21955.1,21924.8
1405.03,21542.9,21508
1417.59,21130.3,21091.6
1430.15,20716,20677.4
1442.71,20303.5,20264.9
1455.27,19920.9,19883.2
1467.83,19538.3,19501.6
1480.39,19180.1,19143.9
1492.95,18827,18791.2
1505.51,18483.9,18447.3
1518.06,18137.1,18100.5
1530.62,17791.1,17754.5
