X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
1392.69,44.6684,0.049008,22699.1,22743.5,22699.4
1405.25,44.6024,0.049628,22264.4,22309.5,22265.4
1417.81,44.5375,0.0502563,21830.6,21876,21831.9
1430.38,44.4759,0.0509129,21399.7,21444.4,21400.3
1442.94,44.414,0.0515688,20971.2,21015.3,20971.2
1455.5,44.3481,0.0522152,20572.8,20616.9,20572.8
1468.06,44.2821,0.0528616,20174.4,20218.5,20174.4
1480.62,44.2127,0.0535,19801.6,19845.7,19801.6
1493.18,44.1426,0.0541368,19433.5,19477.6,19433.5
1505.74,44.0811,0.0547466,19072.6,19116.7,19072.6
1518.3,44.0174,0.0553707,18707.7,18751.8,18707.7
1530.86,43.9527,0.0559995,18343.7,18387.8,18343.7
1543.42,43.8827,0.0566555,17985.2,18029.3,17985.2
1555.98,43.8126,0.0573114,17626.6,17670.7,17626.6
1568.54,43.7464,0.0579369,17300.5,17344.6,17300.5
1581.11,43.6808,0.0585565,16980.6,17024.7,16980.6
1593.67,43.6153,0.0591805,16666,16709.9,16666
1606.23,43.5498,0.059812,16360.3,16403.6,16360.3
1618.79,43.4842,0.0604435,16054.7,16097.4,16054.7
1631.35,43.4153,0.0610728,15769.7,15811.8,15769.7
1643.91,43.3461,0.0617019,15486.9,15528.5,15486.9
1656.47,43.2768,0.062333,15208.4,15250,15208.4
1669.03,43.2076,0.0629679,14937.7,14980.5,14937.7
1681.59,43.1383,0.0636028,14667.1,14710.9,14667.1
1694.15,43.0708,0.0642266,14413,14456.6,14413
1706.71,43.0036,0.0648478,14162.8,14205.9,14162.8
1719.27,42.9364,0.0654731,13914.7,13957.3,13914.7
1731.84,42.8693,0.0661167,13675.7,13718.3,13675.7
1744.4,42.8021,0.0667603,13436.7,13479.3,13436.7
1756.96,42.7342,0.0673806,13210.8,13253.5,13210.8
1769.52,42.6656,0.0679822,12995.6,13038.2,12995.6
1782.08,42.597,0.0685837,12780.3,12822.9,12780.3
1794.64,42.5243,0.0692015,12572.7,12614.9,12572.7
1807.2,42.4504,0.0698241,12367.4,12409.1,12367.4
1819.76,42.3766,0.0704468,12162.1,12203.3,12162.1
1832.32,42.3079,0.0710746,11965.7,12006.8,11965.7
1844.88,42.2393,0.0717026,11769.4,11810.5,11769.4
1857.44,42.17,0.0723291,11575.7,11617.1,11575.7
1870,42.0982,0.0729499,11393.1,11435.5,11393.1
1882.57,42.0264,0.0735706,11210.5,11253.9,11210.5
1895.13,41.9569,0.0741891,11032.2,11076.2,11032.2
1907.69,41.892,0.0748031,10863,10906.5,10863
1920.25,41.8271,0.0754171,10693.8,10736.8,10693.8
1932.81,41.761,0.0760323,10529.3,10571.7,10529.3
1945.37,41.6929,0.0766495,10372.3,10414.3,10372.3
1957.93,41.6249,0.0772668,10215.3,10256.8,10215.3
