X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
2196.24,103.597,102.889
2205.66,102.189,101.483
2215.08,100.866,100.163
2224.5,99.5715,98.8717
2233.92,98.2772,97.58
2243.34,96.9828,96.2883
2252.76,95.7072,95.0154
2262.18,94.5137,93.8246
2271.6,93.3202,92.6337
2281.02,92.1267,91.4428
2290.43,90.9332,90.252
2299.85,89.788,89.1094
2309.27,88.6882,88.0123
2318.69,87.5885,86.9151
2328.11,86.4888,85.818
2337.53,85.3891,84.7208
2346.95,84.3537,83.6862
2356.37,83.3412,82.6736
2365.79,82.3287,81.6611
2375.21,81.3161,80.6486
2384.63,80.3036,79.636
2394.05,79.356,78.6906
2403.46,78.4195,77.7566
2412.88,77.4831,76.8226
2422.3,76.5466,75.8886
2431.72,75.6101,74.9546
2441.14,74.7207,74.0698
2450.56,73.8388,73.1928
2459.98,72.9568,72.3158
2469.4,72.0748,71.4388
2478.82,71.1928,70.5618
2488.24,70.386,69.7555
2497.66,69.5899,68.9594
2507.08,68.7938,68.1634
2516.49,67.9977,67.3673
2525.91,67.2017,66.5712
2535.33,66.436,65.8071
2544.75,65.6851,65.0586
2554.17,64.9341,64.31
2563.59,64.1832,63.5615
2573.01,63.4323,62.8129
2582.43,62.7156,62.0975
2591.85,62.0375,61.4194
2601.27,61.3594,60.7413
2610.69,60.6813,60.0632
2620.11,60.0032,59.3851
2629.52,59.3272,58.7093
2638.94,58.6856,58.0723
2648.36,58.044,57.4353
2657.78,57.4025,56.7983
2667.2,56.7609,56.1613
2676.62,56.1193,55.5243
2686.04,55.5101,54.9167
2695.46,54.9189,54.3255
2704.88,54.3278,53.7344
2714.3,53.7366,53.1432
2723.72,53.1454,52.5521
2733.14,52.5608,51.9677
2742.55,52.0239,51.4329
2751.97,51.487,50.8982
2761.39,50.9501,50.3634
2770.81,50.4131,49.8286
2780.23,49.8762,49.2939
2789.65,49.3518,48.7716
2799.07,48.8472,48.2692
2808.49,48.3427,47.7668
2817.91,47.8381,47.2644
2827.33,47.3335,46.762
2836.75,46.829,46.2596
2846.16,46.3539,45.7866
2855.58,45.8943,45.3291
2865,45.4348,44.8717
2874.42,44.9753,44.4142
2883.84,44.5158,43.9568
2893.26,44.0562,43.4993
2902.68,43.6213,43.0664
2912.1,43.1964,42.6436
2921.52,42.7715,42.2207
2930.94,42.3465,41.7978
2940.36,41.9216,41.375
2949.78,41.4967,40.9521
2959.19,41.0873,40.5434
2968.61,40.686,40.142
2978.03,40.2846,39.7407
2987.45,39.8833,39.3393
2996.87,39.4819,38.938
3006.29,39.092,38.5403
3015.71,38.7193,38.1654
3025.13,38.3542,37.8043
3034.55,37.9891,37.4431
3043.97,37.624,37.0819
3053.39,37.2589,36.7208
3062.81,36.8938,36.3596
3072.22,36.5387,36.0072
3081.64,36.203,35.6714
3091.06,35.8673,35.3357
3100.48,35.5315,35
3109.9,35.1958,34.6642
3119.32,34.8601,34.3285
3128.74,34.5243,33.9927
3138.16,34.2106,33.6809
3147.58,33.8976,33.3698
3157,33.5845,33.0586
3166.42,33.2715,32.7475
3175.84,32.9584,32.4363
3185.25,32.6454,32.1252
3194.67,32.3464,31.8281
3204.09,32.0618,31.5453
3213.51,31.7771,31.2626
3222.93,31.4925,30.9798
3232.35,31.2079,30.697
3241.77,30.9232,30.4142
3251.19,30.6386,30.1314
3260.61,30.3674,29.8606
3270.03,30.0994,29.5926
3279.45,29.8314,29.3246
3288.86,29.5634,29.0566
3298.28,29.2954,28.7886
3307.7,29.0274,28.5206
3317.12,28.7623,28.2557
3326.54,28.5187,28.0139
3335.96,28.2751,27.772
3345.38,28.0314,27.5302
3354.8,27.7878,27.2883
3364.22,27.5442,27.0465
3373.64,27.3005,26.8047
3383.06,27.0604,26.5663
3392.48,26.8328,26.3405
3401.9,26.6052,26.1147
3411.31,26.3777,25.8889
3420.73,26.1501,25.663
3430.15,25.9225,25.4372
3439.57,25.6949,25.2114
3448.99,25.4716,24.9899
3458.41,25.2644,24.7844
3467.83,25.0572,24.5789
3477.25,24.85,24.3734
3486.67,24.6428,24.1679
3496.09,24.4356,23.9624
3505.51,24.2284,23.757
3514.92,24.0212,23.5515
3524.34,23.8276,23.3579
3533.76,23.6341,23.1644
3543.18,23.4406,22.9709
3552.6,23.2471,22.7774
3562.02,23.0537,22.5839
3571.44,22.8602,22.3904
3580.86,22.6667,22.1969
3590.28,22.4851,22.0154
3599.7,22.3072,21.8374
3609.12,22.1292,21.6594
3618.54,21.9512,21.4814
3627.95,21.7732,21.3034
3637.37,21.5952,21.1254
3646.79,21.4172,20.9475
3656.21,21.2442,20.775
3665.63,21.0809,20.6133
3675.05,20.9175,20.4516
3684.47,20.7542,20.2898
3693.89,20.5909,20.1281
3703.31,20.4275,19.9664
3712.73,20.2642,19.8047
3722.15,20.1008,19.643
3731.57,19.9457,19.4894
3740.98,19.7942,19.3395
3750.4,19.6427,19.1896
3759.82,19.4911,19.0396
3769.24,19.3396,18.8897
3778.66,19.1881,18.7398
3788.08,19.0365,18.5898
3797.5,18.885,18.4399
3806.92,18.7443,18.2993
3816.34,18.6043,18.1593
3825.76,18.4643,18.0192
3835.18,18.3242,17.8792
3844.59,18.1842,17.7391
3854.01,18.0441,17.5991
3863.43,17.9041,17.4591
3872.85,17.7651,17.3202
3882.27,17.6364,17.193
3891.69,17.5077,17.0658
3901.11,17.379,16.9387
3910.53,17.2503,16.8115
3919.95,17.1216,16.6843
3929.37,16.9929,16.5572
3938.79,16.8642,16.43
3948.21,16.7357,16.303
3957.62,16.6147,16.1821
3967.04,16.4938,16.0611
3976.46,16.3729,15.9402
3985.88,16.252,15.8193
3995.3,16.1311,15.6984
4004.72,16.0124,15.5797
4014.14,15.896,15.4633
4023.56,15.7795,15.3468
4032.98,15.6693,15.2379
4042.4,15.5602,15.1303
4051.82,15.4512,15.0227
4061.24,15.3421,14.9151
4070.65,15.233,14.8075
4080.07,15.124,14.6999
4089.49,15.0149,14.5923
4098.91,14.9058,14.4847
4108.33,14.8,14.3797
4117.75,14.6982,14.2778
4127.17,14.5963,14.176
4136.59,14.4944,14.0741
4146.01,14.3925,13.9722
4155.43,14.2906,13.8703
4164.85,14.1887,13.7684
4174.27,14.0869,13.6665
