X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
3013.46,3561.46,3525.32
3026.76,3523.04,3487
3040.06,3484.62,3448.67
3053.37,3446.19,3410.35
3066.67,3407.77,3372.02
3079.97,3371.33,3335.65
3093.28,3335.3,3299.69
3106.58,3299.28,3263.74
3119.88,3263.26,3227.78
3133.18,3228.06,3192.62
3146.49,3194.65,3159.21
3159.79,3161.23,3125.8
3173.09,3127.82,3092.39
3186.4,3094.41,3058.97
3199.7,3062.68,3027.26
3213,3031.57,2996.19
3226.3,3000.46,2965.11
3239.61,2969.35,2934.03
3252.91,2938.24,2902.95
3266.21,2908.67,2873.72
3279.52,2879.11,2844.51
3292.82,2849.56,2815.29
3306.12,2820,2786.08
3319.43,2791.06,2757.4
3332.73,2763.88,2730.25
3346.03,2736.71,2703.11
3359.33,2709.54,2675.97
3372.64,2682.37,2648.82
3385.94,2655.87,2622.25
3399.24,2630.53,2596.65
3412.55,2605.2,2571.04
3425.85,2579.86,2545.43
3439.15,2554.52,2519.83
3452.45,2529.85,2495.11
3465.76,2506.15,2471.67
3479.06,2482.45,2448.22
3492.36,2458.75,2424.78
3505.67,2435.04,2401.34
3518.97,2411.68,2378.17
3532.27,2389.13,2355.64
3545.57,4538.57,4504.52
3558.88,4495.58,4461.56
3572.18,4452.59,4418.61
3585.48,4410.3,4376.34
3598.79,4371.01,4337.08
3612.09,4331.72,4297.82
3625.39,4292.44,4258.56
3638.7,4253.15,4219.3
3652,4213.86,4180.04
3665.3,4177.09,4143.55
3678.6,4140.53,4107.28
3691.91,4103.96,4071.02
3705.21,4067.39,4034.75
3718.51,4030.83,3998.48
3731.82,5026.03,4993.84
3745.12,4983,4950.84
3758.42,4939.98,4907.85
3771.72,4896.96,4864.85
3785.03,4853.93,4821.85
3798.33,4810.98,4778.93
3811.63,4770.88,4738.86
3824.94,4730.79,4698.79
3838.24,4690.69,4658.72
3851.54,4650.59,4618.65
3864.84,4610.49,4578.57
3878.15,4571.69,4539.8
3891.45,4534.4,4502.53
3904.75,4497.11,4465.27
3918.06,4459.82,4428
3931.36,4422.52,4390.73
3944.66,4385.23,4353.47
3957.97,4349.25,4317.54
3971.27,4313.7,4282.07
3984.57,4278.15,4246.6
3997.87,4242.61,4211.13
4011.18,4207.85,4176.39
4024.48,4637.27,4607.15
4037.78,4600.09,4569.88
4051.09,4563.2,4532.77
4064.39,4526.31,4495.65
4077.69,4489.41,4458.54
4090.99,4452.52,4421.42
4104.3,4415.68,4384.37
4117.6,4380.86,4349.82
4130.9,4346.05,4315.27
4144.21,4311.23,4280.72
4157.51,4276.41,4246.18
4170.81,4241.6,4211.63
4184.11,4206.8,4177.1
4197.42,4174.62,4144.73
4210.72,4142.45,4112.36
4224.02,4110.27,4079.99
4237.33,4078.09,4047.62
4250.63,4045.91,4015.25
4263.93,4013.73,3982.89
4277.24,3982.92,3952.27
4290.54,3952.37,3921.97
4303.84,3921.81,3891.68
4317.14,3891.26,3861.38
4330.45,3860.7,3831.09
4343.75,5450.38,5420.88
4357.05,5412.36,5382.96
4370.36,5376.01,5346.6
4383.66,5339.65,5310.24
4396.96,5303.29,5273.88
4410.26,5266.93,5237.52
4423.57,5230.57,5201.17
4436.87,5194.73,5165.33
4450.17,5160.79,5131.38
4463.48,5126.84,5097.43
4476.78,5092.89,5063.48
4490.08,5058.94,5029.53
4503.38,5024.99,4995.58
4516.69,4991.04,4961.63
4529.99,4958.26,4929
4543.29,4926.03,4896.99
4556.6,4893.8,4864.99
4569.9,4861.57,4832.98
4583.2,4829.34,4800.97
4596.5,4797.11,4768.97
4609.81,4765.35,4737.01
4623.11,5494.65,5465.24
4636.41,5457.27,5427.87
4649.72,5419.9,5390.5
4663.02,5382.53,5353.13
4676.32,5345.16,5315.76
4689.63,5307.79,5278.39
4702.93,5271.22,5241.82
4716.23,5236.57,5207.16
4729.53,5201.91,5172.51
4742.84,5167.26,5137.85
4756.14,5132.6,5103.2
4769.44,5097.95,5068.54
4782.75,5063.29,5033.89
4796.05,5029.47,5000.14
4809.35,4997.01,4967.89
4822.65,4964.55,4935.64
4835.96,4932.09,4903.39
4849.26,4899.63,4871.13
4862.56,4867.17,4838.88
4875.87,4834.71,4806.63
4889.17,4802.78,4774.84
4902.47,4772.02,4744.08
4915.77,4741.25,4713.32
4929.08,4710.49,4682.56
4942.38,5064.04,5036.1
4955.68,5029.65,5001.72
4968.99,4995.27,4967.33
4982.29,4961.25,4933.31
4995.59,4928.98,4901.04
5008.9,4896.65,4868.88
5022.2,4864.3,4836.79
5035.5,4831.96,4804.69
5048.8,4799.61,4772.59
5062.11,4767.26,4740.49
5075.41,4734.91,4708.39
5088.71,4704.11,4677.64
5102.02,4673.68,4647.21
5115.32,4643.25,4616.79
5128.62,4612.83,4586.36
5141.92,4582.4,4555.94
5155.23,4551.98,4525.51
5168.53,4521.55,4495.08
5181.83,4491.91,4465.44
5195.14,4463.63,4437.16
5208.44,4435.36,4408.89
5221.74,4407.08,4380.61
5235.04,4378.81,4352.34
5248.35,4350.53,4324.07
