X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,4262.49,4254.59
23.5589,4222.56,4214.74
36.1177,4182.62,4174.89
48.6766,4142.69,4135.04
61.2355,4102.75,4095.19
73.7943,4062.82,4055.34
86.3532,4022.88,4015.49
98.9121,3982.95,3975.65
111.471,3943.01,3935.8
124.03,3903.08,3895.95
136.589,3863.14,3856.1
149.148,3823.21,3816.25
161.706,3783.27,3776.4
174.265,3743.34,3736.55
186.824,3703.4,3696.71
199.383,3663.47,3656.86
211.942,3623.53,3617.01
224.501,3583.6,3577.16
237.06,3543.66,3537.31
249.619,3503.73,3497.46
262.177,3463.79,3457.61
274.736,3423.86,3417.77
287.295,3383.93,3377.92
299.854,3343.99,3338.07
312.413,3304.06,3298.22
324.972,3264.12,3258.37
337.531,3224.19,3218.52
350.089,3184.25,3178.67
362.648,3144.32,3138.83
375.207,3104.38,3098.98
387.766,3064.45,3059.13
400.325,3024.51,3019.28
412.884,2984.58,2979.43
425.443,2944.64,2939.58
438.002,2904.71,2899.73
450.56,2864.77,2859.89
463.119,2824.84,2820.04
475.678,2784.9,2780.19
488.237,2744.97,2740.34
500.796,2705.03,2700.49
513.355,2665.1,2660.64
525.914,2625.16,2620.79
538.473,2585.23,2580.95
551.031,2545.29,2541.1
563.59,2505.36,2501.25
576.149,2465.42,2461.4
588.708,2425.49,2421.55
601.267,2385.55,2381.7
613.826,2345.62,2341.85
626.385,2305.68,2302.01
638.943,2265.75,2262.16
651.502,2225.82,2222.31
664.061,2185.88,2182.46
676.62,2145.95,2142.61
689.179,2106.01,2102.76
701.738,2066.08,2062.91
714.297,2026.14,2023.07
726.856,1986.21,1983.22
739.414,1946.27,1943.37
751.973,1906.34,1903.52
764.532,1866.4,1863.67
777.091,1826.47,1823.82
789.65,1786.53,1783.97
802.209,1746.6,1744.13
814.768,1706.66,1704.28
827.327,1666.73,1664.43
839.885,1626.79,1624.58
852.444,1586.86,1584.73
865.003,1546.92,1544.88
877.562,1506.99,1505.03
890.121,1467.05,1465.19
902.68,1427.12,1425.34
915.239,1387.18,1385.49
927.798,1347.25,1345.64
940.356,1307.31,1305.79
952.915,1267.38,1265.94
965.474,1227.44,1226.09
978.033,1187.51,1186.25
990.592,1147.57,1146.4
1003.15,1107.64,1106.55
1015.71,1067.71,1066.7
1028.27,1029.96,1028.9
1040.83,993.168,992.055
1053.39,958.002,956.89
1065.95,925.019,923.953
1078.5,893.303,892.311
1091.06,863.362,862.373
1103.62,833.963,832.974
1116.18,805.722,804.733
1128.74,779.228,778.195
1141.3,753.823,752.72
1153.86,730.481,729.427
1166.42,707.475,706.486
1178.97,684.822,683.833
1191.53,663.01,662.021
1204.09,643.344,642.355
1216.65,623.787,622.798
1229.21,604.414,603.425
1241.77,586.069,585.045
1254.33,568.603,567.514
1266.89,552.121,551.048
1279.45,536.223,535.212
1292,520.88,519.891
1304.56,505.851,504.862
1317.12,491.737,490.748
1329.68,478.122,477.133
1342.24,464.921,463.932
1354.8,452.023,451.034
1367.36,439.487,438.529
1379.92,427.306,426.407
1392.48,415.794,414.904
