X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,124932,124316
20.4192,124139,123528
29.8383,123346,122740
39.2575,122553,121953
48.6766,121759,121165
58.0958,120966,120377
67.5149,120173,119590
76.9341,119380,118802
86.3532,118587,118014
95.7724,117793,117226
105.192,117000,116439
114.611,116207,115651
124.03,115414,114863
133.449,114621,114076
142.868,113827,113288
152.287,113034,112500
161.706,112241,111712
171.126,111448,110925
180.545,110655,110137
189.964,109861,109349
199.383,109068,108561
208.802,108275,107774
218.221,107482,106986
227.641,106689,106198
237.06,105895,105411
246.479,105102,104623
255.898,104309,103835
265.317,103516,103047
274.736,102723,102260
284.155,101929,101472
293.575,101136,100684
302.994,100343,99896.5
312.413,99549.9,99108.8
321.832,98756.7,98321
331.251,97963.5,97533.3
340.67,97170.3,96745.6
350.089,96377.1,95957.9
359.509,95583.9,95170.2
368.928,94790.8,94382.4
378.347,93997.6,93594.7
387.766,93204.4,92807
397.185,92411.2,92019.3
406.604,91618,91231.5
416.024,90824.8,90443.8
425.443,90031.6,89656.1
434.862,89238.4,88868.4
444.281,88445.2,88080.6
453.7,87652,87292.9
463.119,86858.8,86505.2
472.538,86065.6,85717.5
481.958,85272.4,84929.8
491.377,84479.2,84142
500.796,83686,83354.3
510.215,82892.8,82566.6
519.634,82099.7,81778.9
529.053,81306.5,80991.1
538.473,80513.3,80203.4
547.892,79720.1,79415.7
557.311,78926.9,78628
566.73,78133.7,77840.2
576.149,77340.5,77052.5
585.568,76547.3,76264.8
594.987,75754.1,75477.1
604.407,74960.9,74689.4
613.826,74167.7,73901.6
623.245,73374.5,73113.9
632.664,72581.3,72326.2
642.083,71788.1,71538.5
651.502,70994.9,70750.7
660.922,70201.8,69963
670.341,69408.6,69175.3
679.76,68615.4,68387.6
689.179,67822.2,67599.8
698.598,67029,66812.1
708.017,66235.8,66024.4
717.436,65442.6,65236.7
726.856,64649.4,64449
736.275,63856.2,63661.2
745.694,63063,62873.5
755.113,62269.8,62085.8
764.532,61476.6,61298.1
773.951,60683.4,60510.3
783.37,59890.2,59722.6
792.79,59097,58934.9
802.209,58303.8,58147.2
811.628,57510.7,57359.4
821.047,56717.5,56571.7
830.466,55924.3,55784
839.885,55131.1,54996.3
849.305,54337.9,54208.6
858.724,53544.7,53420.8
868.143,52751.5,52633.1
877.562,51958.3,51845.4
886.981,51165.1,51057.7
896.4,50371.9,50269.9
905.819,49578.7,49482.2
915.239,48785.5,48694.5
924.658,47992.3,47906.8
934.077,47199.1,47119
943.496,46406,46331.3
952.915,45612.8,45543.6
962.334,44819.6,44755.9
971.754,44026.4,43968.1
981.173,43233.2,43180.4
990.592,42440,42392.7
1000.01,41646.8,41605
1009.43,40853.6,40817.3
1018.85,40064.9,40033.1
1028.27,39321.5,39284.7
1037.69,38578.1,38536.4
1047.11,37858.5,37816.6
1056.53,37139.6,37097.8
1065.95,37520.4,37478.6
1075.36,37643.1,37601.3
1084.78,36930.9,36892
1094.2,36246.3,36212.1
1103.62,35576.2,35544.8
1113.04,34929.1,34897.8
1122.46,34290.1,34258
1131.88,33694.8,33658.3
1141.3,33099.6,33058.5
1150.72,32543,32504.7
1160.14,31995.1,31961
1169.56,31447.8,31416.4
1178.97,30901.8,30870.4
1188.39,30358.5,30327
1197.81,29878.5,29842.8
1207.23,29398.5,29358.7
1216.65,28903.1,28861.2
1226.07,29114.6,29072.8
1235.49,28597.8,28556
1244.91,28126,28084.2
1254.33,27654.2,27612.4
1263.75,27201.8,27162
1273.17,26768.6,26732.7
1282.59,26335.3,26303.4
1292,25918.8,25884.1
1301.42,25505.2,25466.6
1310.84,25097.8,25056.7
1320.26,24715.3,24678
1329.68,24332.8,24299.3
1339.1,23956.9,23923.9
1348.52,23589.5,23552.7
1357.94,23222.2,23181.6
1367.36,22866.1,22827.6
1376.78,22515.4,22481.8
1386.2,22164.7,22136
1395.62,21852,21820.6
1405.03,21542.9,21508
1414.45,21233.8,21195.3
1423.87,20923.2,20884.5
1433.29,20612.5,20573.8
1442.71,20303.5,20264.9
1452.13,20016.6,19978.7
1461.55,19729.6,19692.4
1470.97,19445,19408.4
1480.39,19180.1,19143.9
1489.81,18915.3,18879.4
