X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,142341,143104
23.5589,141122,141875
36.1177,139904,140646
48.6766,138685,139417
61.2355,137466,138188
73.7943,136248,136959
86.3532,135029,135730
98.9121,133810,134501
111.471,132591,133272
124.03,131373,132043
136.589,130154,130814
149.148,128935,129585
161.706,127717,128356
174.265,126498,127127
186.824,125279,125898
199.383,124060,124669
211.942,122842,123440
224.501,121623,122211
237.06,120404,120982
249.619,119186,119754
262.177,117967,118525
274.736,116748,117296
287.295,115530,116067
299.854,114311,114838
312.413,113092,113609
324.972,111873,112380
337.531,110655,111151
350.089,109436,109922
362.648,108217,108693
375.207,106999,107464
387.766,105780,106235
400.325,104561,105006
412.884,103342,103777
425.443,102124,102548
438.002,100905,101319
450.56,99686.3,100090
463.119,98467.6,98861.3
475.678,97248.9,97632.4
488.237,96030.1,96403.4
500.796,94811.4,95174.5
513.355,93592.7,93945.5
525.914,92374,92716.6
538.473,91155.3,91487.6
551.031,89936.6,90258.7
563.59,88717.9,89029.7
576.149,87499.2,87800.8
588.708,86280.5,86571.8
601.267,85061.7,85342.9
613.826,83843,84113.9
626.385,82624.3,82885
638.943,81405.6,81656
651.502,80186.9,80427.1
664.061,78968.2,79198.1
676.62,77749.5,77969.1
689.179,76530.8,76740.2
701.738,75312.1,75511.2
714.297,74093.3,74282.3
726.856,72874.6,73053.3
739.414,71655.9,71824.4
751.973,70437.2,70595.4
764.532,69218.5,69366.5
777.091,67999.8,68137.5
789.65,66781.1,66908.6
802.209,65562.4,65679.6
814.768,64343.7,64450.7
827.327,63124.9,63221.7
839.885,61906.2,61992.8
852.444,60687.5,60763.8
865.003,59468.8,59534.9
877.562,58250.1,58305.9
890.121,57031.4,57077
902.68,55812.7,55848
915.239,54594,54619.1
927.798,53375.3,53390.1
940.356,52156.5,52161.1
952.915,50937.8,50932.2
965.474,49719.1,49703.2
978.033,48500.4,48474.3
990.592,47281.7,47245.3
1003.15,46063,46016.4
1015.71,45921.5,45864.6
1028.27,44684.1,44632.9
1040.83,43482,43435.8
1053.39,42329.8,42274.5
1065.95,41234.6,41175.9
1078.5,40172.4,40113.7
1091.06,39152.4,39110.6
1103.62,38146.8,38117.4
1116.18,37172.4,37143.1
1128.74,36256.3,36221.8
1141.3,35376.5,35333.6
1153.86,34553.3,34506.5
1166.42,33738.9,33689.2
1178.97,32921,32878.9
1191.53,32132.6,32096.1
1204.09,31419,31383.3
1216.65,30704.9,30669.7
1229.21,29990,29954.8
1241.77,29306.5,29271.2
1254.33,28649.7,28614.5
1266.89,28030.8,27990.5
1279.45,27434.3,27385.9
1292,26849,26798.1
1304.56,26270.2,26220
1317.12,25721.3,25673.3
1329.68,25188.9,25143.6
1342.24,24670.3,24625.9
1354.8,24161.9,24116.8
1367.36,23664,23618.9
1379.92,23176.2,23131.8
1392.48,22712.2,22668.2
1405.03,22279,22235
1417.59,21846.3,21802.2
1430.15,21415.5,21371.4
1442.71,20986.5,20942.5
1455.27,20588.9,20544.8
1467.83,20191.2,20147.2
1480.39,19818.6,19774.5
1492.95,19451.2,19407.1
1505.51,19090.9,19046.9
1518.06,18726.7,18682.6
1530.62,18363.3,18319.2
1543.18,18005.4,17961.3
1555.74,17647.5,17603.5
1568.3,17321.2,17277.2
1580.86,17001.9,16957.9
1593.42,16687.4,16643.6
1605.98,16381.7,16338.5
1618.54,16076.1,16033.5
1631.09,15790.6,15748.5
1643.65,15507.7,15466.2
1656.21,15229.5,15188
1668.77,14960.5,14917.8
1681.33,14691.5,14647.7
1693.89,14437.2,14393.6
1706.45,14187,14143.9
1719.01,13938.6,13896
1731.57,13700,13657.5
1744.12,13461.5,13418.9
1756.68,13235.6,13193
1769.24,13020.7,12978.1
1781.8,12805.8,12763.2
1794.36,12598,12555.8
1806.92,12392.5,12350.9
1819.48,12187.1,12146
1832.04,11990.8,11949.7
1844.6,11794.9,11753.8
1857.15,11601.5,11560.2
1869.71,11420.2,11377.9
1882.27,11238.9,11195.6
1894.83,11061.3,11017.4
1907.39,10891.9,10848.5
1919.95,10722.5,10679.6
1932.51,10557.5,10515.1
1945.07,10400.3,10358.4
1957.62,10243.1,10201.7
1970.18,10088.6,10047.5
1982.74,9939.53,9898.43
1995.3,9790.43,9749.33
2007.86,9638.32,9597.22
2020.42,9496.83,9455.73
2032.98,9355.35,9314.25
2045.54,9214.66,9173.56
2058.1,9079.63,9038.53
2070.65,8944.59,8903.5
2083.21,8809.56,8768.46
2095.77,8680.58,8639.91
2108.33,8552,8511.79
2120.89,8423.42,8383.68
2133.45,8303.74,8263.78
2146.01,8186.99,8146.59
2158.57,8070.24,8029.4
2171.13,7955.64,7914.9
2183.68,7844.16,7804.29
2196.24,7732.67,7693.69
2208.8,7621.71,7583.52
2221.36,7518.39,7479.77
2233.92,7415.08,7376.03
2246.48,7311.76,7272.28
2259.04,7212.89,7172.99
2271.6,7116.53,7076.21
