X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
7,4275.21,4267.28
20.3029,4232.91,4225.07
33.6058,4190.61,4182.86
46.9087,4148.31,4140.65
60.2117,4106.01,4098.44
73.5146,4063.71,4056.23
86.8175,4021.41,4014.02
100.12,3979.1,3971.81
113.423,3936.8,3929.6
126.726,3894.5,3887.39
140.029,3852.2,3845.18
153.332,3809.9,3802.97
166.635,3767.6,3760.77
179.938,3725.3,3718.56
193.241,3683,3676.35
206.544,3640.7,3634.14
219.847,3598.4,3591.93
233.15,3556.1,3549.72
246.452,3513.8,3507.51
259.755,3471.5,3465.3
273.058,3429.2,3423.09
286.361,3386.89,3380.88
299.664,3344.59,3338.67
312.967,3302.29,3296.46
326.27,3259.99,3254.25
339.573,3217.69,3212.04
352.876,3175.39,3169.83
366.179,3133.09,3127.62
379.482,3090.79,3085.42
392.784,3048.49,3043.21
406.087,3006.19,3001
419.39,2963.89,2958.79
432.693,2921.59,2916.58
445.996,2879.29,2874.37
459.299,2836.99,2832.16
472.602,2794.68,2789.95
485.905,2752.38,2747.74
499.208,2710.08,2705.53
512.511,2667.78,2663.32
525.814,2625.48,2621.11
539.117,2583.18,2578.9
552.419,2540.88,2536.69
565.722,2498.58,2494.48
579.025,2456.28,2452.27
592.328,2413.98,2410.07
605.631,2371.68,2367.86
618.934,2329.38,2325.65
632.237,2287.08,2283.44
645.54,2244.77,2241.23
658.843,2202.47,2199.02
672.146,2160.17,2156.81
685.449,2117.87,2114.6
698.751,2075.57,2072.39
712.054,2033.27,2030.18
725.357,1990.97,1987.97
738.66,1948.67,1945.76
751.963,1906.37,1903.55
765.266,1864.07,1861.34
778.569,1821.77,1819.13
791.872,1779.47,1776.92
805.175,1737.17,1734.72
818.478,1694.87,1692.51
831.781,1652.56,1650.3
845.084,1610.26,1608.09
858.386,1567.96,1565.88
871.689,1525.66,1523.67
884.992,1483.36,1481.46
898.295,1441.06,1439.25
911.598,1398.76,1397.04
924.901,1356.46,1354.83
938.204,1314.16,1312.62
951.507,1271.86,1270.41
964.81,1229.56,1228.2
978.113,1187.26,1185.99
991.416,1144.96,1143.78
1004.72,1102.65,1101.57
1018.02,1060.36,1059.37
1031.32,1020.89,1019.82
1044.63,982.527,981.415
1057.93,945.279,944.167
1071.23,911.665,910.63
1084.54,878.884,877.895
1097.84,847.247,846.258
1111.14,817.052,816.063
1124.44,787.916,786.907
1137.75,761.005,759.922
1151.05,735.625,734.556
1164.35,711.243,710.245
1177.66,687.2,686.211
1190.96,663.909,662.92
1204.26,643.079,642.09
1217.57,622.378,621.389
1230.87,601.857,600.868
1244.17,582.729,581.692
1257.47,564.228,563.123
1270.78,547.197,546.143
1284.08,530.363,529.374
1297.38,514.444,513.455
1310.69,498.715,497.726
1323.99,484.294,483.305
1337.29,470.003,469.014
1350.59,456.341,455.352
1363.9,442.844,441.869
1377.2,429.941,429.029
1390.5,417.466,416.585
1403.81,406.189,405.25
1417.11,394.943,393.964
1430.41,383.858,382.939
1443.71,372.899,372.034
1457.02,362.797,361.932
1470.32,352.717,351.852
1483.62,343.53,342.665
1496.93,334.344,333.478
1510.23,325.92,325.055
1523.53,317.471,316.605
1536.83,309.155,308.289
1550.14,300.932,300.067
1563.44,293.122,292.256
1576.74,285.907,285.042
1590.05,278.722,277.856
1603.35,271.878,271.013
1616.65,265.035,264.17
1629.96,258.621,257.756
1643.26,252.351,251.486
1656.56,246.205,245.339
1669.86,240.295,239.429
1683.17,234.385,233.519
1696.47,228.97,228.104
1709.77,223.588,222.722
1723.08,218.319,217.454
1736.38,213.187,212.321
1749.68,208.054,207.188
1762.98,203.482,202.663
1776.29,198.924,198.152
1789.59,194.464,193.722
1802.89,190.188,189.447
1816.2,185.913,185.171
1829.5,181.805,181.063
1842.8,177.764,177.022
1856.1,173.751,173.009
1869.41,170.051,169.309
1882.71,166.351,165.609
1896.01,162.772,162.014
1909.32,159.394,158.591
1922.62,156.016,155.169
1935.92,152.769,151.929
1949.23,149.609,148.813
1962.53,146.45,145.697
1975.83,143.481,142.739
1989.13,140.579,139.837
2002.44,137.606,136.864
2015.74,134.897,134.156
2029.04,132.266,131.524
2042.35,129.635,128.893
2055.65,127.13,126.388
2068.95,124.642,123.901
2082.25,122.155,121.413
2095.56,119.789,119.051
2108.86,117.442,116.707
2122.16,115.094,114.364
2135.47,112.954,112.228
2148.77,110.848,110.126
2162.07,108.741,108.023
2175.38,106.717,106.003
2188.68,104.728,104.018
2201.98,102.739,102.033
2215.28,100.838,100.136
2228.59,99.0101,98.3114
2241.89,97.182,96.4871
2255.19,95.3988,94.7077
2268.5,93.7131,93.0258
2281.8,92.0275,91.3439
2295.1,90.3429,89.663
2308.4,88.7897,88.1135
2321.71,87.2366,86.564
2335.01,85.6834,85.0145
