X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,142584,143348
20.4192,141669,142425
29.8383,140753,141502
39.2575,139838,140578
48.6766,138922,139655
58.0958,138006,138732
67.5149,137091,137808
76.9341,136175,136885
86.3532,135260,135962
95.7724,134344,135039
105.192,133429,134115
114.611,132513,133192
124.03,131597,132269
133.449,130682,131345
142.868,129766,130422
152.287,128851,129499
161.706,127935,128576
171.126,127019,127652
180.545,126104,126729
189.964,125188,125806
199.383,124273,124882
208.802,123357,123959
218.221,122441,123036
227.641,121526,122113
237.06,120610,121189
246.479,119695,120266
255.898,118779,119343
265.317,117863,118419
274.736,116948,117496
284.155,116032,116573
293.575,115117,115650
302.994,114201,114726
312.413,113285,113803
321.832,112370,112880
331.251,111454,111956
340.67,110539,111033
350.089,109623,110110
359.509,108707,109187
368.928,107792,108263
378.347,106876,107340
387.766,105961,106417
397.185,105045,105493
406.604,104129,104570
416.024,103214,103647
425.443,102298,102723
434.862,101383,101800
444.281,100467,100877
453.7,99551.5,99953.6
463.119,98635.9,99030.3
472.538,97720.3,98107
481.958,96804.7,97183.8
491.377,95889.1,96260.5
500.796,94973.5,95337.2
510.215,94057.9,94413.9
519.634,93142.3,93490.6
529.053,92226.7,92567.3
538.473,91311.1,91644
547.892,90395.5,90720.7
557.311,89479.9,89797.4
566.73,88564.3,88874.1
576.149,87648.7,87950.9
585.568,86733.1,87027.6
594.987,85817.5,86104.3
604.407,84901.9,85181
613.826,83986.4,84257.7
623.245,83070.8,83334.4
632.664,82155.2,82411.1
642.083,81239.6,81487.8
651.502,80324,80564.5
660.922,79408.4,79641.2
670.341,78492.8,78718
679.76,77577.2,77794.7
689.179,76661.6,76871.4
698.598,75746,75948.1
708.017,74830.4,75024.8
717.436,73914.8,74101.5
726.856,72999.2,73178.2
736.275,72083.6,72254.9
745.694,71168,71331.6
755.113,70252.4,70408.4
764.532,69336.8,69485.1
773.951,68421.2,68561.8
783.37,67505.6,67638.5
792.79,66590,66715.2
802.209,65674.4,65791.9
811.628,64758.8,64868.6
821.047,63843.3,63945.3
830.466,62927.7,63022
839.885,62012.1,62098.7
849.305,61096.5,61175.5
858.724,60180.9,60252.2
868.143,59265.3,59328.9
877.562,58349.7,58405.6
886.981,57434.1,57482.3
896.4,56518.5,56559
905.819,55602.9,55635.7
915.239,54687.3,54712.4
924.658,53771.7,53789.1
934.077,52856.1,52865.8
943.496,51940.5,51942.6
952.915,51024.9,51019.3
962.334,50109.3,50096
971.754,49193.7,49172.7
981.173,48278.1,48249.4
990.592,47362.5,47326.1
1000.01,46446.9,46402.8
1009.43,46666.3,46614.5
1018.85,45674.5,45616.3
1028.27,44760.5,44709.2
1037.69,43846.4,43802.1
1047.11,42979.2,42928.4
1056.53,42113.6,42055.9
1065.95,41305.1,41246.3
1075.36,40507.1,40448.3
1084.78,39729.3,39678.6
1094.2,38964.3,38926.8
1103.62,38212,38182.6
1113.04,37480,37450.6
1122.46,36758.9,36728.6
1131.88,36097.9,36061.3
1141.3,35437,35394
1150.72,34816.3,34770.2
1160.14,34204.5,34156
1169.56,33591.7,33543.9
1178.97,32977.3,32935.1
1188.39,32366.2,32329.5
1197.81,31830.1,31794
1207.23,31294,31258.4
1216.65,30757.4,30722.1
1226.07,30220.3,30185
1235.49,29685.5,29650.2
1244.91,29192.1,29156.8
1254.33,28698.7,28663.4
1263.75,28228.1,28189.8
1273.17,27780,27735.5
1282.59,27331.8,27281.2
